county,precinct,office,district,party,candidate,votes,vtd
Ford,Dodge City Airport,President,,Write-ins,"Schoenke, Marshall R.",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Schriner, Joe C",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Smith, Mike",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Sood, Ajay",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Sterling, Shawna",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Valdivia, Anthony J",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Vogel-Walcutt, J.J.",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Wysinger, Demetra Jefferson",0,00005B
Ford,Dodge City Airport,President,,Democratic,"Clinton, Hillary Rodham",0,00005B
Ford,Dodge City Airport,President,,Libertarian,"Johnson, Gary",0,00005B
Ford,Dodge City Airport,President,,Republican,"Trump, Donald J.",0,00005B
Ford,Dodge City Industrial Park,President,,independent,"Stein, Jill",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Basiago, Andrew D.",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Castle, Darrell L",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"De La Fuente,""Rocky"" Roque",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Giordani, Rocky",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Hedges, James A",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Hoefling, Tom",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Kahn, Lynn",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"La Riva, Gloria",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Levinson, Michael S.",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Maturen, Michael A",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"McMullin, Evan",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Moorehead, Monica G.",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Perry, Darryl",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Schoenke, Marshall R.",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Schriner, Joe C",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Smith, Mike",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Sood, Ajay",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Sterling, Shawna",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Valdivia, Anthony J",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Vogel-Walcutt, J.J.",0,00005C
Ford,Dodge City Industrial Park,President,,Write-ins,"Wysinger, Demetra Jefferson",0,00005C
Ford,Dodge City Industrial Park,President,,Democratic,"Clinton, Hillary Rodham",0,00005C
Ford,Dodge City Industrial Park,President,,Libertarian,"Johnson, Gary",0,00005C
Ford,Dodge City Industrial Park,President,,Republican,"Trump, Donald J.",0,00005C
Ford,Dodge City Precinct 03,President,,independent,"Stein, Jill",6,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Basiago, Andrew D.",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Castle, Darrell L",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"De La Fuente,""Rocky"" Roque",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Giordani, Rocky",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Hedges, James A",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Hoefling, Tom",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Kahn, Lynn",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"La Riva, Gloria",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Levinson, Michael S.",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Maturen, Michael A",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"McMullin, Evan",2,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Moorehead, Monica G.",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Perry, Darryl",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Schoenke, Marshall R.",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Schriner, Joe C",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Smith, Mike",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Sood, Ajay",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Sterling, Shawna",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Valdivia, Anthony J",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Vogel-Walcutt, J.J.",0,70
Ford,Dodge City Precinct 03,President,,Write-ins,"Wysinger, Demetra Jefferson",0,70
Ford,Dodge City Precinct 03,President,,Democratic,"Clinton, Hillary Rodham",246,70
Ford,Dodge City Precinct 03,President,,Libertarian,"Johnson, Gary",17,70
Ford,Dodge City Precinct 03,President,,Republican,"Trump, Donald J.",163,70
