Site Name,County,Latitude,Longitutde,Sum,status,protection,,,,,,,,,,,,
Eagle (47-SK-0094),Sauk,43.384,-89.645,2,partially destroyed,unprotected,,,,,,,,,,,,
Garrisonville Bear,Sauk,43.487,-89.624,2,destroyed,unprotected,,,,,,,,,,,,
Glen Creek,Sauk,43.451,-89.708,3,destroyed,unprotected,,,,,,,,,,,,
Glover,Sauk,43.465,-89.736,6,unknown,unprotected,,,,,,,,,,,,
Greenfield,Sauk,43.458,-89.713,4,unknown,unprotected,,,,,,,,,,,,
Greenfield Man Mound,Sauk,43.488,-89.671,1,partially destroyed,unprotected,,,,,,,,,,,,
Gross,Sauk,43.368,-89.648,1,unknown,unprotected,,,,,,,,,,,,
Hemlock,Sauk,43.585,-90.133,4,unknown,unprotected,,,,,,,,,,,,
Hill,Sauk,43.164,-90.103,2,unknown,unprotected,,,,,,,,,,,,
Honey Creek,Sauk,43.267,-89.822,14,destroyed,unprotected,,,,,,,,,,,,
Howlett,Sauk,43.451,-89.771,20,destroyed,unprotected,,,,,,,,,,,,
Hoxie,Sauk,43.215,-89.997,2,unknown,unprotected,,,,,,,,,,,,
Jackson Creek,Sauk,43.473,-89.638,2,destroyed,unprotected,,,,,,,,,,,,
Jantz,Sauk,43.559,-89.705,2,destroyed,unprotected,,,,,,,,,,,,
Johnson,Sauk,43.347,-89.779,10,unknown,unprotected,,,,,,,,,,,,
Jones,Sauk,43.194,-90.016,25,unknown,unprotected,,,,,,,,,,,,
Kingston,Sauk,43.351,-89.794,54,unknown,unprotected,,,,,,,,,,,,
Kruger Creek,Sauk,43.366,-89.682,27,destroyed,unprotected,,,,,,,,,,,,
La Valle Man Mound,Sauk,43.568,-90.091,10,destroyed,unprotected,,,,,,,,,,,,
Langdon,Sauk,43.461,-89.685,4,intact,unprotected,,,,,,,,,,,,
Lapham,Sauk,43.38,-89.689,12,unknown,unprotected,,,,,,,,,,,,
Lapham #2,Sauk,43.382,-89.693,23,unknown,unprotected,,,,,,,,,,,,
Leach Creek,Sauk,43.515,-89.685,7,intact,unprotected,,,,,,,,,,,,
Long Lizard,Sauk,43.457,-89.689,2,partially destroyed,unprotected,,,,,,,,,,,,
Lower Dells,Sauk,43.595,-89.739,3,destroyed,unprotected,,,,,,,,,,,,
Maple Grove,Sauk,43.444,-89.736,2,destroyed,unprotected,,,,,,,,,,,,
May Be,Sauk,43.219,-89.997,1,unknown,unprotected,,,,,,,,,,,,
McGann,Sauk,43.479,-89.689,1,unknown,unprotected,,,,,,,,,,,,
McGilvra,Sauk,43.487,-89.706,3,unknown,unprotected,,,,,,,,,,,,
Merrimac Moon,Sauk,43.375,-89.648,1,unknown,unprotected,,,,,,,,,,,,
Merry Mac,Sauk,43.377,-89.626,1,unknown,unprotected,,,,,,,,,,,,
Mink,Sauk,43.384,-89.705,3,destroyed,unprotected,,,,,,,,,,,,
Mosley,Sauk,43.249,-89.826,15,unknown,unprotected,,,,,,,,,,,,
Mother and Cub,Sauk,43.363,-89.659,2,intact,unprotected,,,,,,,,,,,,
Newport,Sauk,43.607,-89.769,2,partially destroyed,unprotected,,,,,,,,,,,,
Norton,Sauk,43.192,-90.032,3,unknown,unprotected,,,,,,,,,,,,
Oak Hill,Sauk,43.56,-90.081,1,unknown,unprotected,,,,,,,,,,,,
Otter Creek,Sauk,43.339,-89.775,4,unknown,unprotected,,,,,,,,,,,,
Palisade,Sauk,43.377,-89.635,2,destroyed,unprotected,,,,,,,,,,,,
Paddock,Sauk,43.612,-90.086,3,destroyed,unprotected,,,,,,,,,,,,
Pass,Sauk,43.216,-89.988,1,unknown,unprotected,,,,,,,,,,,,
Patterson,Sauk,43.265,-89.819,2,unknown,unprotected,,,,,,,,,,,,
Pierce,Sauk,43.201,-89.878,6,partially destroyed,unprotected,,,,,,,,,,,,
Poison,Sauk,43.557,-89.683,17,destroyed,unprotected,,,,,,,,,,,,
Porter,Sauk,43.545,-89.657,8,destroyed,unprotected,,,,,,,,,,,,
Potter,Sauk,43.465,-89.733,10,destroyed,unprotected,,,,,,,,,,,,
Prairie,Sauk,43.266,-89.772,2,destroyed,unprotected,,,,,,,,,,,,
Prairie Effigy,Sauk,43.218,-90.006,2,destroyed,unprotected,,,,,,,,,,,,
Ragatz,Sauk,43.3,-89.848,25,destroyed,unprotected,,,,,,,,,,,,
Rainbow,Sauk,43.177,-90.052,9,unknown,unprotected,,,,,,,,,,,,
River Bank,Sauk,43.365,-89.662,8,unknown,unprotected,,,,,,,,,,,,
Sauk Prairie,Sauk,43.26,-89.799,8,unknown,unprotected,,,,,,,,,,,,
Saxer,Sauk,43.265,-89.831,4,destroyed,unprotected,,,,,,,,,,,,
Searl's Creek,Sauk,43.366,-89.677,15,intact,unprotected,,,,,,,,,,,,
Siebecker,Sauk,43.367,-89.697,28,unknown,unprotected,,,,,,,,,,,,
Skillet's Creek,Sauk,43.457,-89.779,6,unknown,unprotected,,,,,,,,,,,,
South Park,Sauk,43.524,-90.007,1,intact,unprotected,,,,,,,,,,,,
South Side,Sauk,43.457,-89.749,7,destroyed,unprotected,,,,,,,,,,,,
Sprecher,Sauk,43.284,-89.907,3,unknown,unprotected,,,,,,,,,,,,
Spring Run,Sauk,43.458,-89.693,8,partially destroyed,unprotected,,,,,,,,,,,,
Stage Road,Sauk,43.567,-89.738,11,destroyed,unprotected,,,,,,,,,,,,
Terminal Moraine #1,Sauk,43.43,-89.723,5,partially destroyed,unprotected,,,,,,,,,,,,
Terminal Moraine #2,Sauk,43.43,-89.735,2,intact,unprotected,,,,,,,,,,,,
Tinkham,Sauk,43.444,-89.761,4,unknown,unprotected,,,,,,,,,,,,
Train,Sauk,43.375,-89.672,3,unknown,unprotected,,,,,,,,,,,,
Tyler,Sauk,43.459,-89.748,5,destroyed,unprotected,,,,,,,,,,,,
Upper Mill Power,Sauk,43.476,-89.767,2,destroyed,unprotected,,,,,,,,,,,,
Vonburn,Sauk,43.265,-89.836,11,partially destroyed,unprotected,,,,,,,,,,,,
Wiegand Bay,Sauk,43.36,-89.702,6,unknown,unprotected,,,,,,,,,,,,
Williams,Sauk,43.467,-89.738,6,destroyed,unprotected,,,,,,,,,,,,
Wilson,Sauk,43.205,-89.984,2,destroyed,unprotected,,,,,,,,,,,,
Wisconsin River,Sauk,43.578,-89.737,63,partially destroyed,unprotected,,,,,,,,,,,,
Wyman,Sauk,43.475,-89.848,20,unknown,unprotected,,,,,,,,,,,,
All Plowed,Richland,43.273,-90.299,12,unknown,unprotected,,,,,,,,,,,,
Amalgamation Mound,Richland,43.225,-90.481,5,unknown,unprotected,,,,,,,,,,,,
Armbuster,Richland,43.216,-90.464,8,destroyed,unprotected,,,,,,,,,,,,
Bear Creek,Richland,43.196,-90.235,4,destroyed,unprotected,,,,,,,,,,,,
Beckwith,Richland,43.215,-90.299,24,destroyed,unprotected,,,,,,,,,,,,
Big Eagle Village,Richland,43.224,-90.431,29,unknown,unprotected,,,,,,,,,,,,
Bremmer,Richland,43.211,-90.401,5,unknown,unprotected,,,,,,,,,,,,
Clipped Wing,Richland,43.214,-90.457,2,partially destroyed,unprotected,,,,,,,,,,,,
Confluence,Richland,43.212,-90.44,7,unknown,unprotected,,,,,,,,,,,,
Conundrum,Richland,43.209,-90.306,16,unknown,unprotected,,,,,,,,,,,,
Convocation,Richland,43.22,-90.468,1,destroyed,unprotected,,,,,,,,,,,,
Creekside,Richland,43.23,-90.463,7,unknown,unprotected,,,,,,,,,,,,
Cupp Mounds,Richland,43.211,-90.552,1,intact,unprotected,,,,,,,,,,,,
Daggers and Does,Richland,43.499,-90.633,5,unknown,unprotected,,,,,,,,,,,,
Dingman,Richland,43.214,-90.527,21,intact,unprotected,,,,,,,,,,,,
Diving Birds,Richland,43.277,-90.314,6,unknown,unprotected,,,,,,,,,,,,
Donner,Richland,43.214,-90.217,25,unknown,unprotected,,,,,,,,,,,,
Eagle Township,Richland,43.205,-90.459,76,destroyed,unprotected,,,,,,,,,,,,
Elder,Richland,43.223,-90.462,9,intact,unprotected,,,,,,,,,,,,
Gasser,Richland,43.199,-90.596,1,intact,unprotected,,,,,,,,,,,,
Hamilton,Richland,43.214,-90.54,5,intact,unprotected,,,,,,,,,,,,
Hunting Eagle,Richland,43.212,-90.459,7,partially destroyed,unprotected,,,,,,,,,,,,
Ketcham,Richland,43.21,-90.246,2,intact,unprotected,,,,,,,,,,,,
Lone Eagle,Richland,43.215,-90.451,1,unknown,unprotected,,,,,,,,,,,,
Lost Dog,Richland,43.198,-90.251,6,unknown,unprotected,,,,,,,,,,,,
Lost Goose,Richland,43.225,-90.454,2,unknown,unprotected,,,,,,,,,,,,
Man Mound,Richland,43.214,-90.482,7,unknown,unprotected,,,,,,,,,,,,
Marsh Eagle,Richland,43.213,-90.484,4,unknown,unprotected,,,,,,,,,,,,
McClary I,Richland,43.219,-90.47,14,destroyed,unprotected,,,,,,,,,,,,
McClary 2,Richland,43.215,-90.472,2,destroyed,unprotected,,,,,,,,,,,,
McClary 3,Richland,43.208,-90.474,6,destroyed,unprotected,,,,,,,,,,,,
Meridian,Richland,43.211,-90.436,9,unknown,unprotected,,,,,,,,,,,,
