SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Unity Mid",Unity,"Middle School",5,8,"Public school",Regular,No,"1908 150th St Hwy 46 N  Balsam Lake WI  54810-7267",Polk,11,16329,0238,120,02380120,5500750,00099,45.491816,-92.468381,1,range_interpolation,1908,"State Hwy 46","Balsam Lake",WI,"Polk County",54810,US,"TIGER/Line® dataset from the US Census Bureau"
"Urban Mid","Sheboygan Area","Middle School",6,8,"Public school",Regular,No,"1226 North Ave  Sheboygan WI  53083-4799",Sheboygan,7,02083,5271,360,52710360,5513650,01798,43.774147,-87.72069,1,rooftop,1226,"North Ave",Sheboygan,WI,"Sheboygan County",53083,US,Sheboygan
"Valders El","Valders Area","Elementary School",K4,4,"Public school",Regular,No,"331 W Wilson St  Valders WI  54245",Manitowoc,7,11703,5866,40,58660040,5515210,01966,44.068731,-87.887468,1,rooftop,331,"W Wilson St",Valders,WI,"Manitowoc County",54245,US,Manitowoc
"Valders Hi","Valders Area","High School",9,12,"Public school",Regular,No,"201 W Wilson St  Valders WI  54245",Manitowoc,7,11704,5866,60,58660060,5515210,01967,44.068663,-87.885788,1,rooftop,201,"W Wilson St",Valders,WI,"Manitowoc County",54245,US,Manitowoc
"Valders Mid","Valders Area","Middle School",5,8,"Public school",Regular,No,"138 Jefferson St  Valders WI  54245",Manitowoc,7,11705,5866,80,58660080,5515210,01968,44.068328,-87.884256,1,rooftop,138,"Jefferson St",Valders,WI,"Manitowoc County",54245,US,Manitowoc
"Valley New Sch","Appleton Area","High School",7,12,"Public school",Regular,Charter,"10 E College Ave Ste 228  Appleton WI  54911-6138",Outagamie,6,72510,0147,460,01470460,5500390,03341,44.262153,-88.405923,1,rooftop,10,"E College Ave",Appleton,WI,"Outagamie County",54911,US,Outagamie
"Valley View El",Ashwaubenon,"Elementary School",KG,5,"Public school",Regular,No,"2200 True Ln  Green Bay WI  54304-4392",Brown,7,11957,0182,60,01820060,5500540,00085,44.494536,-88.071781,1,rooftop,2200,"True Ln","Green Bay",WI,"Brown County",54304,US,Statewide
"Valley View El","Menomonee Falls","Elementary School",3,5,"Public school",Regular,No,"W180N8130 Town Hall Rd  Menomonee Falls WI  53051-3599",Waukesha,1,26906,3437,85,34370085,5509060,00663,43.165301,-88.13291,1,rooftop,W180N8130,"Town Hall Rd","Menomonee Falls",WI,"Waukesha County",53051,US,Waukesha
"Van Brunt El",Horicon,"Elementary School",K4,6,"Public school",Regular,No,"611 Mill St  Horicon WI  53032-1461",Dodge,6,01371,2576,40,25760040,5506570,00711,43.449242,-88.62693,1,rooftop,611,"Mill St",Horicon,WI,"Dodge County",53032,US,Statewide
"Van Buren El",Janesville,"Elementary School",K4,5,"Public school",Regular,No,"1515 Lapham St  Janesville WI  53546-5500",Rock,2,06689,2695,330,26950330,5507020,00774,42.662441,-89.038207,1,rooftop,1515,"Lapham St",Janesville,WI,"Rock County",53546,US,Rock
"Van Hise El","Madison Metropolitan","Elementary School",KG,5,"Public school",Regular,No,"4747 Waukesha St  Madison WI  53705-4898",Dane,2,07980,3269,795,32690795,5508520,00965,43.065036,-89.458175,1,rooftop,4747,"Waukesha St",Madison,WI,"Dane County",53705,US,Statewide
"Vel R Phillips Sch",Wauwatosa,"Combined Elementary/Secondary School",KG,12,"Public school",Alternative,No,"10201 W Watertown Plank Rd  Wauwatosa WI  53226-3532",Milwaukee,1,05490,6244,190,62440190,5515990,02349,43.04406,-88.039898,1,rooftop,10201,"W Watertown Plank Rd",Milwaukee,WI,"Milwaukee County",53226,US,Milwaukee
"Veritas Hi","Seeds of Health Inc","High School",9,12,"Non District Charter Schools",Regular,Charter,"3025 W Oklahoma Ave  Milwaukee WI  53215-4347",Milwaukee,1,00544,8001,8124,80018124,5500074,02496,42.9882,-87.952732,1,rooftop,3025,"W Oklahoma Ave",Milwaukee,WI,"Milwaukee County",53215,US,"City of Milwaukee"
"Vernon Cty Better Futures HS","Kickapoo Area","High School",10,12,"Public Schools-Multidistrict Charters",Regular,Charter,N/A,,3,0000,5960,9407,59609407,5512540,N/A,0,0,0,,,,,,,,,
"Vernon Cty Better Futures HS","La Farge","High School",10,12,"Public Schools-Multidistrict Charters",Regular,Charter,N/A,,4,0000,2863,9407,28639407,5507560,N/A,0,0,0,,,,,,,,,
"Vernon Cty Better Futures HS","Viroqua Area","High School",10,12,"Public school",Regular,Charter,"100 Blackhawk Dr  Viroqua WI  54665-1315",Vernon,4,71356,5985,9407,59859407,5515360,02513,43.558921,-90.900843,1,rooftop,100,"Blackhawk Dr",Viroqua,WI,"Vernon County",54665,US,Vernon
"Vernon Cty Better Futures HS","Westby Area","High School",10,12,"Public Schools-Multidistrict Charters",Regular,Charter,N/A,,4,0000,6321,9407,63219407,5516410,N/A,0,0,0,,,,,,,,,
"Vernon El",Kenosha,"Elementary School",K4,5,"Public school",Regular,No,"8518 22nd Ave  Kenosha WI  53143-6446",Kenosha,1,03089,2793,600,27930600,5507320,00829,42.550368,-87.835232,1,rooftop,8518,"22nd Ave",Kenosha,WI,"Kenosha County",53143,US,Kenosha
"Verona Area Hi","Verona Area","High School",9,12,"Public school",Regular,No,"300 Richard St  Verona WI  53593-1145",Dane,2,07580,5901,100,59010100,5515330,01972,42.994465,-89.53576,1,range_interpolation,300,"Richard St",Verona,WI,"Dane County",53593,US,"TIGER/Line® dataset from the US Census Bureau"
"Verona Area International Sch","Verona Area","Elementary School",KG,5,"Public school",Regular,Charter,"5830 Devoro Rd  Fitchburg WI  53711",Dane,2,00546,5901,150,59010150,5515330,02849,43.004199,-89.44923,1,rooftop,5830,"Devoro Rd",Madison,WI,"Dane County",53711,US,Dane
"Verona Area K4","Verona Area","Elementary School",K4,0,"Public school",Regular,No,"710 Lone Pine Way  Verona WI  53593",Dane,2,00729,5901,160,59010160,5515330,02890,43.004873,-89.544026,1,rooftop,710,"Lone Pine Way",Verona,WI,"Dane County",53593,US,Dane
"Victory El",Milwaukee,"Elementary School",K3,8,"Public school",Regular,No,"2222 W Henry Ave  Milwaukee WI  53221-4920",Milwaukee,1,05318,3619,387,36190387,5509600,01264,42.936871,-87.942721,1,rooftop,2222,"W Henry Ave",Milwaukee,WI,"Milwaukee County",53221,US,"City of Milwaukee"
"Vieau El",Milwaukee,"Elementary School",K3,8,"Public school",Regular,No,"823 S 4th St  Milwaukee WI  53204-1724",Milwaukee,1,04492,3619,390,36190390,5509600,01265,43.022685,-87.91578,1,rooftop,823,"S 4th St",Milwaukee,WI,"Milwaukee County",53204,US,"City of Milwaukee"
"Viking El",Holmen,"Elementary School",K4,5,"Public school",Regular,No,"500 E Wall St  Holmen WI  54636","La Crosse",4,14687,2562,100,25620100,5506540,02298,43.961284,-91.249259,0.8,rooftop,500,"Wall St E",Holmen,WI,"La Crosse County",54636,US,"La Crosse"
"Viking Mid","Baldwin-Woodville Area","Middle School",6,8,"Public school",Regular,No,"500 Southside Dr  Woodville WI  54028-9531","Saint Croix",11,10390,0231,90,02310090,5500720,00096,44.945071,-92.285773,1,rooftop,500,"Southside Dr",Woodville,WI,"St. Croix County",54028,US,"St Croix"
"Vincent Accelerated Acad",Milwaukee,"High School",9,12,"Public school",Alternative,No,"7501 N Granville Rd  Milwaukee WI  53224-3927",Milwaukee,1,01550,3619,448,36190448,5509600,03055,43.154667,-88.031901,1,rooftop,7501,"N Granville Rd",Milwaukee,WI,"Milwaukee County",53224,US,"City of Milwaukee"
"Vincent Hi",Milwaukee,"High School",9,12,"Public school",Regular,No,"7501 N Granville Rd  Milwaukee WI  53224-3927",Milwaukee,1,05454,3619,33,36190033,5509600,02272,43.154667,-88.031901,1,rooftop,7501,"N Granville Rd",Milwaukee,WI,"Milwaukee County",53224,US,"City of Milwaukee"
"Viroqua Area Montessori Sch","Viroqua Area","Combined Elementary/Secondary School",K4,6,"Public school",Regular,Charter,"115 N Education Ave  Viroqua WI  54665-1318",Vernon,4,00881,5985,140,59850140,5515360,02972,43.55656,-90.902928,1,rooftop,115,"N Education Ave",Viroqua,WI,"Vernon County",54665,US,Vernon
"Viroqua El","Viroqua Area","Elementary School",K4,4,"Public school",Regular,No,"115 N Education Ave  Viroqua WI  54665-1318",Vernon,4,15033,5985,180,59850180,5515360,01975,43.55656,-90.902928,1,rooftop,115,"N Education Ave",Viroqua,WI,"Vernon County",54665,US,Vernon
"Viroqua Hi","Viroqua Area","High School",9,12,"Public school",Regular,No,"100 Blackhawk Dr  Viroqua WI  54665-1315",Vernon,4,15034,5985,220,59850220,5515360,01976,43.558921,-90.900843,1,rooftop,100,"Blackhawk Dr",Viroqua,WI,"Vernon County",54665,US,Vernon
"Viroqua Mid","Viroqua Area","Middle School",5,8,"Public school",Regular,No,"100 Blackhawk Dr  Viroqua WI  54665-1315",Vernon,4,15035,5985,230,59850230,5515360,01977,43.558921,-90.900843,1,rooftop,100,"Blackhawk Dr",Viroqua,WI,"Vernon County",54665,US,Vernon
W4K,Waupaca,"Elementary School",K4,0,"Public school",Regular,No,"515 School St  Waupaca WI  54981-1658",Waupaca,5,00938,6195,170,61950170,5515840,03007,44.355307,-89.079418,1,rooftop,515,"School St",Waupaca,WI,"Waupaca County",54981,US,Waupaca
"Wabeno El","Wabeno Area","Elementary School",K4,6,"Public school",Regular,No,"4346 Mill Ln  Wabeno WI  54566",Forest,8,14085,5992,60,59920060,5515390,01978,45.441211,-88.648742,1,rooftop,4346,"Mill Ln",Wabeno,WI,"Forest County",54566,US,Statewide
"Wabeno Hi","Wabeno Area","High School",7,12,"Public school",Regular,No,"4325 N Branch St  Wabeno WI  54566",Forest,8,14086,5992,80,59920080,5515390,01979,45.439457,-88.64801,1,rooftop,4325,"N Branch St",Wabeno,WI,"Forest County",54566,US,Statewide
"Wadewitz El","Racine Unified","Elementary School",K4,5,"Public school",Regular,No,"2700 Yout St  Racine WI  53404-2296",Racine,1,05824,4620,162,46200162,5512360,01642,42.746796,-87.8128,1,rooftop,2700,"Yout St",Racine,WI,"Racine County",53404,US,Statewide
"Wakanda El","Menomonie Area","Elementary School",PK,5,"Public school",Regular,No,"1801 Wakanda St NE  Menomonie WI  54751-1615",Dunn,11,15813,3444,20,34440020,5509090,01072,44.90676,-91.920533,1,range_interpolation,1801,"Wakanda St NE",Menomonie,WI,"Dunn County",54751,US,"TIGER/Line® dataset from the US Census Bureau"
"Walden III Hi","Racine Unified","High School",6,12,"Public school",Alternative,No,"2340 Mohr Ave  Racine WI  53405",Racine,1,05757,4620,499,46200499,5512360,01644,42.726115,-87.810572,1,range_interpolation,2340,"Mohr Ave",Racine,WI,"Racine County",53405,US,"TIGER/Line® dataset from the US Census Bureau"
"Wales El","Kettle Moraine","Elementary School",K4,5,"Public school",Regular,No,"219 N Oak Crest Dr  Wales WI  53183-9711",Waukesha,1,03811,1376,240,13760240,5503510,00380,43.007418,-88.376468,1,rooftop,219,"N Oak Crest Dr",Wales,WI,"Waukesha County",53183,US,Waukesha
"Walker El","West Allis-West Milwaukee","Elementary School",K4,5,"Public school",Regular,No,"900 S 119th St  West Allis WI  53214-2107",Milwaukee,1,04993,6300,420,63000420,5516260,02121,43.021421,-88.059744,1,rooftop,900,"S 119th St",Milwaukee,WI,"Milwaukee County",53214,US,Milwaukee
"Walker Mid","Sturgeon Bay","Middle School",6,8,"Public school",Regular,No,"19 N 14th Ave  Sturgeon Bay WI  54235-1367",Door,7,11599,5642,80,56420080,5514610,02322,44.835822,-87.361815,1,rooftop,19,"N 14th Ave","Sturgeon Bay",WI,"Door County",54235,US,Door
"Waller El","Burlington Area","Elementary School",K4,4,"Public school",Regular,No,"195 Gardner Ave  Burlington WI  53105-2195",Racine,2,02587,0777,140,07770140,5501890,00243,42.668995,-88.277847,1,rooftop,195,"Gardner Ave",Burlington,WI,"Racine County",53105,US,Statewide
"Walworth Co Educ Alt Hi","Big Foot UHS","High School",9,12,"Public Schools-Multidistrict Charters",Regular,Charter,N/A,,2,0000,6013,9401,60139401,5515480,N/A,0,0,0,,,,,,,,,
"Walworth Co Educ Alt Hi",Delavan-Darien,"High School",10,12,"Public Schools-Multidistrict Charters",Regular,Charter,N/A,,2,0000,1380,9401,13809401,5503640,N/A,0,0,0,,,,,,,,,
"Walworth Co Educ Alt Hi","Elkhorn Area","High School",9,12,"Public school",Regular,Charter,"400 County Road H  Elkhorn WI  53121-2046",Walworth,2,70097,1638,9401,16389401,5504290,02520,42.671666,-88.563961,0.33,place,,,Elkhorn,WI,"Walworth County",53121,US,"TIGER/Line® dataset from the US Census Bureau"
"Walworth Co Educ Alt Hi","Lake Geneva-Genoa City UHS","High School",9,12,"Public Schools-Multidistrict Charters",Regular,Charter,N/A,,2,0000,2884,9401,28849401,5507650,N/A,0,0,0,,,,,,,,,
"Walworth Co Educ Alt Hi","Williams Bay","High School",9,12,"Public Schools-Multidistrict Charters",Regular,Charter,N/A,,2,0000,6482,9401,64829401,5516740,N/A,0,0,0,,,,,,,,,
"Walworth El","Walworth J1","Elementary School",K4,8,"Public school",Regular,No,"121 Beloit St  Walworth WI  53184",Walworth,2,03819,6022,20,60220020,5515450,01981,42.530716,-88.600895,1,rooftop,121,"Beloit St",Walworth,WI,"Walworth County",53184,US,Walworth
"Warrens El","Tomah Area","Elementary School",K4,5,"Public school",Regular,No,"409 Main St  Warrens WI  54666-9605",Monroe,4,15075,5747,220,57470220,5514910,01940,44.128423,-90.500088,1,rooftop,409,"Main St",Warrens,WI,"Monroe County",54666,US,Statewide
"Washburn El",Washburn,"Elementary School",K4,6,"Public school",Regular,No,"411 W 8th St  Washburn WI  54891",Bayfield,12,17058,6027,10,60270010,5515540,02453,46.677907,-90.8987,1,rooftop,411,"W 8th St",Washburn,WI,"Bayfield County",54891,US,Bayfield
"Washburn Hi",Washburn,"High School",9,12,"Public school",Regular,No,"305 W 4th St  Washburn WI  54891",Bayfield,12,17060,6027,40,60270040,5515540,01985,46.673853,-90.897371,1,rooftop,305,"W 4th St",Washburn,WI,"Bayfield County",54891,US,Bayfield
"Washburn Mid",Washburn,"Middle School",7,8,"Public school",Regular,No,"305 W 4th Street  Washburn WI  54891",Bayfield,12,17059,6027,20,60270020,5515540,01984,46.673853,-90.897371,1,rooftop,305,"W 4th St",Washburn,WI,"Bayfield County",54891,US,Bayfield
"Washington El","Beaver Dam Unified","Elementary School",KG,5,"Public school",Regular,No,"600 Grove St  Beaver Dam WI  53916-1314",Dodge,6,09383,0336,160,03360160,5500960,00129,43.46774,-88.837939,1,range_interpolation,600,"Grove St","Beaver Dam",WI,"Dodge County",53916,US,"TIGER/Line® dataset from the US Census Bureau"
"Washington El",Janesville,"Elementary School",K4,5,"Public school",Regular,No,"811 N Pine St  Janesville WI  53548-2855",Rock,2,06584,2695,340,26950340,5507020,00775,42.691858,-89.040333,1,rooftop,811,"N Pine St",Janesville,WI,"Rock County",53548,US,Rock
"Washington El","Marshfield Unified","Elementary School",K4,6,"Public school",Regular,No,"1112 W 11th St  Marshfield WI  54449-2699",Wood,5,12725,3339,180,33390180,5508820,01023,44.657042,-90.196941,1,rooftop,1112,"W 11th St",Marshfield,WI,"Wood County",54449,US,Wood
"Washington El","Merrill Area","Elementary School",KG,5,"Public school",Regular,No,"1900 E 6th St  Merrill WI  54452-1600",Lincoln,9,12843,3500,220,35000220,5509210,01103,45.185128,-89.6735,1,rooftop,1900,"E 6th St",Merrill,WI,"Lincoln County",54452,US,Lincoln
"Washington El","Oshkosh Area","Elementary School",KG,5,"Public school",Regular,No,"929 Winnebago Ave  Oshkosh WI  54901-5399",Winnebago,6,17161,4179,480,41790480,5511190,01503,44.016526,-88.524845,1,rooftop,929,"Winnebago Ave",Oshkosh,WI,"Winnebago County",54901,US,Winnebago
"Washington El","Stevens Point Area Public","Elementary School",PK,6,"Public school",Regular,No,"3500 Prais St  Stevens Point WI  54481-2298",Portage,5,13182,5607,280,56070280,5514490,01881,44.527612,-89.550942,1,rooftop,3500,"Prais St","Stevens Point",WI,"Portage County",54481,US,Portage
"Washington El",Washington-Caldwell,"Elementary School",K4,8,"Public school",Regular,No,"8937 Big Bend Rd  Waterford WI  53185-1263",Racine,2,03854,6104,20,61040020,5515700,01993,42.835409,-88.197855,1,range_interpolation,8937,"Big Bend Rd",Waterford,WI,"Racine County",53185,US,"TIGER/Line® dataset from the US Census Bureau"
"Washington El",Wauwatosa,"Elementary School",K4,5,"Public school",Regular,No,"2166 N 68th St  Wauwatosa WI  53213-1994",Milwaukee,1,04929,6244,240,62440240,5515990,02089,43.058421,-87.996899,1,rooftop,2166,"N 68th St",Milwaukee,WI,"Milwaukee County",53213,US,Milwaukee
"Washington El","Whitewater Unified","Elementary School",K4,5,"Public school",Regular,No,"506 E Main St  Whitewater WI  53190-2072",Walworth,2,04155,6461,120,64610120,5516680,02181,42.834069,-88.722247,1,rooftop,506,"E Main St",Whitewater,WI,"Walworth County",53190,US,Walworth
"Washington El","Wisconsin Rapids","Elementary School",K4,5,"Public school",Regular,No,"2911 Washington St  Wisconsin Rapids WI  54494-3200",Wood,5,13436,6685,280,66850280,5517070,02215,44.396195,-89.790766,1,rooftop,2911,"Washington St","Wisconsin Rapids",WI,"Wood County",54494,US,Wood
"Washington Island El",Washington,"Elementary School",K4,8,"Public school",Regular,No,"888 Main Rd  Washington Island WI  54246",Door,7,11751,6069,20,60690020,5515570,01986,45.36126,-86.928629,1,rooftop,888,"Main Rd","Washington Island",WI,"Door County",54246,US,Door
"Washington Island Hi",Washington,"High School",9,12,"Public school",Regular,No,"888 Main Rd  Washington Island WI  54246",Door,7,11752,6069,40,60690040,5515570,01987,45.36126,-86.928629,1,rooftop,888,"Main Rd","Washington Island",WI,"Door County",54246,US,Door
"Washington Jr",Manitowoc,"Junior High School",7,9,"Public school",Regular,No,"2101 Division St  Manitowoc WI  54220-6099",Manitowoc,7,11431,3290,280,32900280,5508610,00980,44.080314,-87.675713,1,rooftop,2101,"Division St",Manitowoc,WI,"Manitowoc County",54220,US,Manitowoc
"Washington Mid","Green Bay Area Public","Middle School",6,8,"Public school",Regular,No,"314 S Baird St  Green Bay WI  54301-3899",Brown,7,11777,2289,660,22890660,5505820,00641,44.504173,-87.997594,1,rooftop,314,"S Baird St","Green Bay",WI,"Brown County",54301,US,Statewide
"Washington Mid",Kenosha,"Middle School",6,8,"Public school",Regular,No,"811 Washington Rd  Kenosha WI  53140-2846",Kenosha,1,03090,2793,640,27930640,5507320,00831,42.598738,-87.82192,1,rooftop,811,"Washington Rd",Kenosha,WI,"Kenosha County",53140,US,Kenosha
"Washington Mid","Oconto Falls Public","Middle School",6,8,"Public school",Regular,No,"102 S Washington St  Oconto Falls WI  54154-1468",Oconto,8,11006,4074,260,40740260,5510950,01438,44.874745,-88.139284,1,rooftop,102,"S Washington St","Oconto Falls",WI,"Oconto County",54154,US,Statewide
"Washington Sch of Early Lrng","Neenah Joint","Elementary School",K4,0,"Public school",Regular,No,"220 E Franklin Ave  Neenah WI  54956-3074",Winnebago,6,17986,3892,280,38920280,5510320,01354,44.183089,-88.460625,1,rooftop,220,"E Franklin Ave",Neenah,WI,"Winnebago County",54956,US,Winnebago
"Washington Street Sch","West Bend","Combined Elementary/Secondary School",6,12,"Public school",Alternative,No,"500 N Schmidt Rd  West Bend WI  53090",Washington,6,00210,6307,400,63070400,5516290,02666,43.428153,-88.171987,1,rooftop,500,"Schmidt Rd","West Bend",WI,"Washington County",53090,US,"City of West Bend"
"Waterford Hi","Waterford UHS","High School",9,12,"Public school",Regular,No,"100 Field Dr  Waterford WI  53185-4116",Racine,2,03852,6083,20,60830020,5515600,01988,42.763353,-88.21922,1,range_interpolation,100,"Field Dr",Waterford,WI,"Racine County",53185,US,"TIGER/Line® dataset from the US Census Bureau"
"Waterloo El",Waterloo,"Elementary School",K4,4,"Public school",Regular,No,"785 N Monroe St  Waterloo WI  53594-1176",Jefferson,2,07617,6118,20,61180020,5515720,01994,43.191179,-88.990947,1,rooftop,785,"N Monroe St",Waterloo,WI,"Jefferson County",53594,US,Jefferson
"Waterloo Hi",Waterloo,"High School",9,12,"Public school",Regular,No,"865 N Monroe St  Waterloo WI  53594-1100",Jefferson,2,07618,6118,40,61180040,5515720,01995,43.193329,-88.990876,1,rooftop,865,"N Monroe St",Waterloo,WI,"Jefferson County",53594,US,Jefferson
"Waterloo Intermediate",Waterloo,"Elementary School",5,6,"Public school",Regular,No,"865 N Monroe St  Waterloo WI  53594-1100",Jefferson,2,00073,6118,100,61180100,5515720,02628,43.193329,-88.990876,1,rooftop,865,"N Monroe St",Waterloo,WI,"Jefferson County",53594,US,Jefferson
"Waterloo Mid",Waterloo,"Middle School",7,8,"Public school",Regular,No,"865 N Monroe St  Waterloo WI  53594-1100",Jefferson,2,71197,6118,300,61180300,5515720,01943,43.193329,-88.990876,1,rooftop,865,"N Monroe St",Waterloo,WI,"Jefferson County",53594,US,Jefferson
"Waters El","Fond du Lac","Elementary School",K4,5,"Public school",Regular,No,"495 Wabash Ave  Fond du Lac WI  54935-5924","Fond du Lac",6,17627,1862,360,18620360,5504680,00506,43.765037,-88.437774,1,rooftop,495,"Wabash Ave","Fond Du Lac",WI,"Fond du Lac County",54935,US,"Fond Du Lac"
"Watertown 4 Kids","Watertown Unified","Elementary School",K4,0,"Public school",Regular,No,"111 Dodge St  Watertown WI  53094-4434",Jefferson,2,00203,6125,110,61250110,5515750,02661,43.191712,-88.724119,1,rooftop,111,"Dodge St",Watertown,WI,"Jefferson County",53094,US,Jefferson
"Watertown Hi","Watertown Unified","High School",9,12,"Public school",Regular,No,"825 Endeavour Dr  Watertown WI  53098-1728",Dodge,2,02392,6125,140,61250140,5515750,02002,43.203509,-88.7401,1,rooftop,825,"Endeavour Dr",Watertown,WI,"Dodge County",53098,US,Statewide
"Waubesa Intermediate",McFarland,"Elementary School",3,5,"Public school",Regular,No,"5605 Red Oak Trl  McFarland WI  53558",Dane,2,70105,3381,40,33810040,5508910,02172,43.021599,-89.283846,1,rooftop,5605,"Red Oak Trl","Mc Farland",WI,"Dane County",53558,US,Statewide
"Waukesha Acad Health Profs",Waukesha,"High School",9,12,"Public school",Regular,Charter,"401 E Roberta Ave  Waukesha WI  53186-6637",Waukesha,1,72929,6174,450,61740450,5515780,03334,42.993195,-88.222594,1,rooftop,401,"E Roberta Ave",Waukesha,WI,"Waukesha County",53186,US,Waukesha
"Waukesha East Alternative Sch",Waukesha,"High School",9,12,"Public school",Alternative,Charter,"1150 Whiterock Ave  Waukesha WI  53186-4101",Waukesha,1,71747,6174,490,61740490,5515780,02502,43.015878,-88.223904,1,range_interpolation,1150,"Whiterock Ave",Waukesha,WI,"Waukesha County",53186,US,"TIGER/Line® dataset from the US Census Bureau"
"Waukesha Engineering Prep",Waukesha,"High School",9,12,"Public school",Regular,Charter,"401 E Roberta Ave  Waukesha WI  53186-6637",Waukesha,1,00280,6174,430,61740430,5515780,02688,42.993195,-88.222594,1,rooftop,401,"E Roberta Ave",Waukesha,WI,"Waukesha County",53186,US,Waukesha
"Waukesha STEM Acad",Waukesha,"Elementary School",K4,8,"Public school",Regular,Charter,"114 S Charles St  Waukesha WI  53186-6202",Waukesha,1,03983,6174,400,61740400,5515780,02023,43.002424,-88.224835,1,rooftop,114,"S Charles St",Waukesha,WI,"Waukesha County",53186,US,Waukesha
"Waukesha Transition Acad",Waukesha,"High School",12,12,"Public school","Special Education",No,"1150 Whiterock Ave  Waukesha WI  53186-4101",Waukesha,1,00827,6174,415,61740415,5515780,02960,43.015878,-88.223904,1,range_interpolation,1150,"Whiterock Ave",Waukesha,WI,"Waukesha County",53186,US,"TIGER/Line® dataset from the US Census Bureau"
"Waunakee Community 4K Sch","Waunakee Community","Elementary School",K4,0,"Public school",Regular,No,"905 Bethel Cir  Waunakee WI  53597",Dane,2,00698,6181,150,61810150,5515810,02869,43.18057,-89.435912,1,rooftop,905,"Bethel Cir",Waunakee,WI,"Dane County",53597,US,Dane
"Waunakee Heritage El","Waunakee Community","Elementary School",PK,4,"Public school",Regular,No,"501 South St  Waunakee WI  53597-1419",Dane,2,07645,6181,80,61810080,5515810,00269,43.187448,-89.451565,1,rooftop,501,"South St",Waunakee,WI,"Dane County",53597,US,Dane
"Waunakee Hi","Waunakee Community","High School",9,12,"Public school",Regular,No,"301 Community Dr  Waunakee WI  53597-1639",Dane,2,07643,6181,40,61810040,5515810,02030,43.182477,-89.45759,1,rooftop,301,"Community Dr",Waunakee,WI,"Dane County",53597,US,Dane
"Waunakee Intermediate","Waunakee Community","Elementary School",5,6,"Public school",Regular,No,"6273 Woodland Dr  Waunakee WI  53597",Dane,2,07642,6181,20,61810020,5515810,02029,43.175643,-89.474209,1,rooftop,6273,"Woodland Dr",Waunakee,WI,"Dane County",53597,US,Dane
"Waunakee Mid","Waunakee Community","Middle School",7,8,"Public school",Regular,No,"1001 South St  Waunakee WI  53597-1651",Dane,2,07644,6181,60,61810060,5515810,02031,43.182477,-89.45759,1,rooftop,1001,"South St",Waunakee,WI,"Dane County",53597,US,Dane
"Waunakee Prairie El","Waunakee Community","Elementary School",PK,4,"Public school",Regular,No,"700 N Madison St  Waunakee WI  53597-1054",Dane,2,30740,6181,100,61810100,5515810,01198,43.200214,-89.453349,1,rooftop,700,"N Madison St",Waunakee,WI,"Dane County",53597,US,Dane
"Waupaca Hi",Waupaca,"High School",9,12,"Public school",Regular,No,"E 2325 King Rd  Waupaca WI  54981",Waupaca,5,18285,6195,140,61950140,5515840,02035,44.35803,-89.08595,1,place,,,Waupaca,WI,"Waupaca County",54981,US,"TIGER/Line® dataset from the US Census Bureau"
"Waupaca Learning Center El",Waupaca,"Elementary School",K4,4,"Public school",Regular,No,"1515 Shoemaker Rd  Waupaca WI  54981-2093",Waupaca,5,18281,6195,70,61950070,5515840,01203,44.3461,-89.06444,1,rooftop,1515,"Shoemaker Rd",Waupaca,WI,"Waupaca County",54981,US,Waupaca
"Waupaca Mid",Waupaca,"Middle School",5,8,"Public school",Regular,No,"1149 Shoemaker Rd  Waupaca WI  54981",Waupaca,5,18286,6195,150,61950150,5515840,02036,44.346949,-89.069484,1,rooftop,1149,"Shoemaker Rd",Waupaca,WI,"Waupaca County",54981,US,Waupaca
"Waupun Area Jr Hi",Waupun,"Junior High School",7,8,"Public school",Regular,No,"801 E Lincoln St  Waupun WI  53963",Dodge,6,00475,6216,300,62160300,5515870,02808,43.626517,-88.720973,1,rooftop,801,"E Lincoln St",Waupun,WI,"Dodge County",53963,US,"Fond Du Lac"
"Waupun Area Sr Hi",Waupun,"High School",9,12,"Public school",Regular,No,"801 E Lincoln St  Waupun WI  53963",Dodge,6,09869,6216,200,62160200,5515870,02045,43.626517,-88.720973,1,rooftop,801,"E Lincoln St",Waupun,WI,"Dodge County",53963,US,"Fond Du Lac"
"Wausau EGL Acad",Wausau,"High School",9,12,"Public school",Regular,Charter,"2607 N 18th St  Wausau WI  54403",Marathon,9,00542,6223,410,62230410,5515900,02826,44.981649,-89.59824,1,rooftop,2607,"N 18th St",Wausau,WI,"Marathon County",54403,US,Marathon
"Wausau Area Montessori Charter",Wausau,"Elementary School",KG,6,"Public school",Regular,Charter,"3101 N 13th St  Wausau WI  54403-2317",Marathon,9,00071,6223,150,62230150,5515900,02629,44.982816,-89.607632,1,rooftop,3101,"N 13th St",Wausau,WI,"Marathon County",54403,US,Marathon
